"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"10:35:37.4297970 PM","notepad.exe","5324","RegQueryValue","HKLM\System\CurrentControlSet\Control\ComputerName\ActiveComputerName\ComputerName","SUCCESS","Type: REG_SZ, Length: 32, Data: DESKTOP-2OEH8H0"
"10:35:37.4298201 PM","notepad.exe","5324","RegCloseKey","HKLM\System\CurrentControlSet\Control\ComputerName\ActiveComputerName","SUCCESS",""
"10:35:37.4298398 PM","notepad.exe","5324","RegOpenKey","HKLM\System\Setup","SUCCESS","Desired Access: Read"
"10:35:37.4298617 PM","notepad.exe","5324","RegQueryValue","HKLM\SYSTEM\Setup\OOBEInProgress","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:35:37.4298832 PM","notepad.exe","5324","RegCloseKey","HKLM\SYSTEM\Setup","SUCCESS",""
"10:35:37.4299016 PM","notepad.exe","5324","RegOpenKey","HKLM\System\Setup","SUCCESS","Desired Access: Read"
"10:35:37.4299212 PM","notepad.exe","5324","RegQueryValue","HKLM\SYSTEM\Setup\SystemSetupInProgress","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:35:37.4299419 PM","notepad.exe","5324","RegCloseKey","HKLM\SYSTEM\Setup","SUCCESS",""
"10:35:37.4299745 PM","notepad.exe","5324","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\notepad.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"10:35:37.4300978 PM","notepad.exe","5324","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4301174 PM","notepad.exe","5324","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows NT\Rpc","NAME NOT FOUND","Desired Access: Read"
"10:35:37.4302842 PM","notepad.exe","5324","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4303087 PM","notepad.exe","5324","RegOpenKey","HKLM\Software\Microsoft\Rpc","SUCCESS","Desired Access: Query Value"
"10:35:37.4303351 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\Rpc\IdleTimerWindow","NAME NOT FOUND","Length: 16"
"10:35:37.4303606 PM","notepad.exe","5324","RegCloseKey","HKLM\SOFTWARE\Microsoft\Rpc","SUCCESS",""
"10:35:37.4305409 PM","notepad.exe","5324","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet","SUCCESS","Desired Access: Read"
"10:35:37.4305923 PM","notepad.exe","5324","RegQueryKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet","SUCCESS","Query: Basic, Name: Windows.Foundation.Collections.PropertySet"
"10:35:37.4306238 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\ActivationType","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:35:37.4306492 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\Server","NAME NOT FOUND","Length: 144"
"10:35:37.4306715 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\DllPath","SUCCESS","Type: REG_SZ, Length: 66, Data: C:\Windows\System32\WinTypes.dll"
"10:35:37.4306939 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\Threading","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:35:37.4307138 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\TrustLevel","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"10:35:37.4307351 PM","notepad.exe","5324","RegQueryKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4307537 PM","notepad.exe","5324","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\CustomAttributes","NAME NOT FOUND","Desired Access: Read"
"10:35:37.4307774 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\RemoteServer","NAME NOT FOUND","Length: 144"
"10:35:37.4307988 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\ActivateAsUser","NAME NOT FOUND","Length: 16"
"10:35:37.4308213 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\ActivateInSharedBroker","NAME NOT FOUND","Length: 16"
"10:35:37.4308421 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\ActivateInBrokerForMediumILContainer","NAME NOT FOUND","Length: 16"
"10:35:37.4308664 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\Permissions","NAME NOT FOUND","Length: 140"
"10:35:37.4308867 PM","notepad.exe","5324","RegQueryValue","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet\ActivateOnHostFlags","NAME NOT FOUND","Length: 16"
"10:35:37.4309182 PM","notepad.exe","5324","RegCloseKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Windows.Foundation.Collections.PropertySet","SUCCESS",""
"10:35:37.4311657 PM","notepad.exe","5324","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"10:35:37.4311863 PM","notepad.exe","5324","RegOpenKey","HKLM\Software\Microsoft\XAML","SUCCESS","Desired Access: Query Value"
