"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:02:00.9924648 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value"
"9:02:00.9925056 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value"
"9:02:00.9925442 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\RaiseExceptionOnPossibleDeadlock","NAME NOT FOUND","Length: 80"
"9:02:00.9925792 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"9:02:00.9926209 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\Segment Heap","REPARSE","Desired Access: Query Value"
"9:02:00.9926415 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\Segment Heap","NAME NOT FOUND","Desired Access: Query Value"
"9:02:00.9928188 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"9:02:00.9929341 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"9:02:00.9929642 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"9:02:00.9929909 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"9:02:00.9938539 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","CreateFile","C:\Windows","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"9:02:01.0011193 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Process Profiling","","SUCCESS","User Time: 0.0000000 seconds, Kernel Time: 0.0000000 seconds, Private Bytes: 376,832, Working Set: 1,601,536"
"9:02:01.0276938 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Load Image","C:\Windows\System32\wow64.dll","SUCCESS","Image Base: 0x7ffba37a0000, Image Size: 0x59000"
"9:02:01.0280229 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","Load Image","C:\Windows\System32\wow64win.dll","SUCCESS","Image Base: 0x7ffba3910000, Image Size: 0x83000"
"9:02:01.0285053 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","QueryOpen","C:\Windows\System32\wow64log.dll","FAST IO DISALLOWED",""
"9:02:01.0286080 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","CreateFile","C:\Windows\System32\wow64log.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"9:02:01.0292215 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","CreateFile","C:\Windows","SUCCESS","Desired Access: Read Attributes, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"9:02:01.0292826 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","QueryNameInformationFile","C:\Windows","SUCCESS","Name: \Windows"
"9:02:01.0293066 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","CloseFile","C:\Windows","SUCCESS",""
"9:02:01.0293269 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","IRP_MJ_CLOSE","C:\Windows","SUCCESS",""
"9:02:01.0293694 PM","04c3fad7c843c2155a69e4a54fcc18324d1b4d366a0868550af02dfdd9186366.exe","3064","RegOpenKey","HKLM\Software\Microsoft\Wow64\x86","SUCCESS","Desired Access: Read"
