"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"9:52:34.1265421 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001\5&217be3d6&0&0001\Driver","SUCCESS","Type: REG_SZ, Length: 88, Data: {4d36e96c-e325-11ce-bfc1-08002be10318}\0000"
"9:52:34.1265932 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Enum\HDAUDIO\FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001\5&217be3d6&0&0001","SUCCESS",""
"9:52:34.1266333 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\0000","SUCCESS","Desired Access: Read"
"9:52:34.1266754 AM","AUDIODG.EXE","1768","RegQueryKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\0000","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"9:52:34.1267091 AM","AUDIODG.EXE","1768","RegSetInfoKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\0000","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"9:52:34.1267499 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\0000\MediaCategories\{185fede4-9905-11d1-95a9-00c04fb925d3}","NAME NOT FOUND","Desired Access: Read"
"9:52:34.1267960 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\Class\{4d36e96c-e325-11ce-bfc1-08002be10318}\0000","SUCCESS",""
"9:52:34.1268417 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\MediaCategories\{185fede4-9905-11d1-95a9-00c04fb925d3}","REPARSE","Desired Access: Read"
"9:52:34.1268842 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\MediaCategories\{185fede4-9905-11d1-95a9-00c04fb925d3}","SUCCESS","Desired Access: Read"
"9:52:34.1269417 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\MediaCategories\{185FEDE4-9905-11D1-95A9-00C04FB925D3}\Name","BUFFER OVERFLOW","Length: 16"
"9:52:34.1269795 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\MediaCategories\{185FEDE4-9905-11D1-95A9-00C04FB925D3}\Name","SUCCESS","Type: REG_SZ, Length: 24, Data: Master Mute"
"9:52:34.1270227 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\MediaCategories\{185FEDE4-9905-11D1-95A9-00C04FB925D3}","SUCCESS",""
"9:52:34.1271995 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\##?#hdaudio#func_01&ven_15ad&dev_1975&subsys_15ad1975&rev_1001#5&217be3d6&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\#elineouttopo","SUCCESS","Desired Access: Query Value, Maximum Allowed"
"9:52:34.1272572 AM","AUDIODG.EXE","1768","RegOpenKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\##?#HDAUDIO#FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001#5&217be3d6&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\#eLineOutTopo\Properties\{d1885396-39d8-4777-bcff-5e3241483416}\0000","SUCCESS","Desired Access: Query Value"
"9:52:34.1273005 AM","AUDIODG.EXE","1768","RegQueryValue","HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\##?#HDAUDIO#FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001#5&217be3d6&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\#eLineOutTopo\Properties\{d1885396-39d8-4777-bcff-5e3241483416}\0000\(Default)","SUCCESS","Type: <Unknown: 4294901767>, Length: 4, Data: "
"9:52:34.1273451 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\##?#HDAUDIO#FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001#5&217be3d6&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\#eLineOutTopo\Properties\{d1885396-39d8-4777-bcff-5e3241483416}\0000","SUCCESS",""
"9:52:34.1273812 AM","AUDIODG.EXE","1768","RegCloseKey","HKLM\System\CurrentControlSet\Control\DeviceClasses\{6994ad04-93ef-11d0-a3cc-00a0c9223196}\##?#HDAUDIO#FUNC_01&VEN_15AD&DEV_1975&SUBSYS_15AD1975&REV_1001#5&217be3d6&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\#eLineOutTopo","SUCCESS",""
